Name_of_movie,Year_of_release,Watchtime,Movie_Rating,Metascore,Votes,Grosses,Description,Director,Stars,Genres
Harry Potter and the Goblet of Fire, 2005 ,157,7.7,81,"661,134",$290.01M,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']","
Adventure, Family, Fantasy            "
Mission: Impossible - Fallout, 2018 ,147,7.7,86,"366,739",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']","
Action, Adventure, Thriller            "
Wind River, 2017 ,107,7.7,73,"270,102",$33.80M,"A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",Taylor Sheridan,"['Elizabeth Olsen', 'Jeremy Renner', 'Graham Greene', 'Kelsey Asbille']","
Crime, Drama, Mystery            "
The Banshees of Inisherin, 2022 ,114,7.7,87,"230,126", ,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Kerry Condon', 'Pat Shortt']","
Comedy, Drama            "
Man on Fire, 2004 ,146,7.7,47,"380,514",$77.91M,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",Tony Scott,"['Denzel Washington', 'Christopher Walken', 'Dakota Fanning', 'Radha Mitchell']","
Action, Crime, Drama            "
Aftersun, II   2022 ,102,7.7,95,"77,016", ,Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...,Charlotte Wells,"['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall', 'Sally Messham']","
Drama            "
Black Hawk Down, 2001 ,144,7.7,74,"414,651",$108.64M,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis.",Ridley Scott,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']","
Action, Drama, History            "
The Hangover, 2009 ,100,7.7,73,"824,407",$277.32M,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,"['Zach Galifianakis', 'Bradley Cooper', 'Justin Bartha', 'Ed Helms']","
Comedy            "
Kingsman: The Secret Service, 2014 ,129,7.7,60,"699,525",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']","
Action, Adventure, Comedy            "
Home Alone, 1990 ,103,7.7,63,"614,853",$285.76M,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas eve.",Chris Columbus,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']","
Comedy, Family            "
Mr. Nobody, 2009 ,141,7.7,63,"242,204",$0.00M,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",Jaco Van Dormael,"['Jared Leto', 'Sarah Polley', 'Diane Kruger', 'Linh-Dan Pham']","
Drama, Fantasy, Romance            "
Airplane!, 1980 ,88,7.7,78,"253,842",$83.40M,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely.","Directors:Jim Abrahams, David Zucker, Jerry Zucker","['Robert Hays', 'Julie Hagerty', 'Leslie Nielsen', 'Kareem Abdul-Jabbar']","
Comedy            "
Harry Potter and the Deathly Hallows: Part 1, 2010 ,146,7.7,65,"580,837",$295.98M,"As Harry, Ron and Hermione race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.",David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Bill Nighy']","
Adventure, Family, Fantasy            "
A Few Good Men, 1992 ,138,7.7,62,"279,812",$141.34M,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon']","
Drama, Thriller            "
What's Eating Gilbert Grape, 1993 ,118,7.7,73,"248,628",$9.17M,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,"['Johnny Depp', 'Leonardo DiCaprio', 'Juliette Lewis', 'Mary Steenburgen']","
Drama            "
Blue Is the Warmest Colour, 2013 ,180,7.7,90,"159,751",$2.20M,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Abdellatif Kechiche,"['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']","
Drama, Romance            "
Ex Machina, 2014 ,108,7.7,78,"571,433",$25.44M,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']","
Drama, Sci-Fi, Thriller            "
Evil Dead II, 1987 ,84,7.7,72,"177,901",$5.92M,The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi,"['Bruce Campbell', 'Sarah Berry', 'Dan Hicks', 'Kassie Wesley DePaiva']","
Comedy, Horror            "
Blazing Saddles, 1974 ,93,7.7,73,"147,756",$119.50M,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.",Mel Brooks,"['Cleavon Little', 'Gene Wilder', 'Slim Pickens', 'Harvey Korman']","
Comedy, Western            "
500 Days of Summer, 2009 ,95,7.7,76,"542,606",$32.39M,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",Marc Webb,"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']","
Comedy, Drama, Romance            "
Ocean's Eleven, 2001 ,116,7.7,74,"603,848",$183.42M,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Julia Roberts', 'Matt Damon']","
Crime, Thriller            "
Lost in Translation, 2003 ,102,7.7,91,"476,374",$44.59M,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']","
Comedy, Drama            "
Training Day, 2001 ,122,7.7,71,"460,304",$76.63M,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Antoine Fuqua,"['Denzel Washington', 'Ethan Hawke', 'Scott Glenn', 'Tom Berenger']","
Action, Crime, Drama            "
Dirty Harry, 1971 ,102,7.7,87,"164,995",$35.90M,"When a man calling himself ""the Scorpio Killer"" menaces San Francisco, tough-as-nails Police Inspector ""Dirty"" Harry Callahan is assigned to track down the crazed psychopath.","Directors:Don Siegel, Clint Eastwood","['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino', 'Reni Santoni']","
Action, Crime, Thriller            "
Bonnie and Clyde, 1967 ,111,7.7,86,"118,194", ,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Arthur Penn,"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman']","
Action, Biography, Crime            "
When Harry Met Sally..., 1989 ,95,7.7,76,"234,131",$92.82M,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Rob Reiner,"['Billy Crystal', 'Meg Ryan', 'Carrie Fisher', 'Bruno Kirby']","
Comedy, Drama, Romance            "
X: First Class, 2011 ,131,7.7,65,"712,937",$146.41M,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon']","
Action, Sci-Fi            "
The Last of the Mohicans, 1992 ,112,7.7,76,"181,741",$75.51M,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']","
Action, Adventure, Drama            "
Silver Linings Playbook, 2012 ,122,7.7,81,"730,622",$132.09M,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",David O. Russell,"['Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver']","
Comedy, Drama, Romance            "
The Game, 1997 ,129,7.7,63,"417,561",$48.32M,"After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him.",David Fincher,"['Michael Douglas', 'Deborah Kara Unger', 'Sean Penn', 'James Rebhorn']","
Drama, Mystery, Thriller            "
Tangled, 2010 ,100,7.7,71,"480,201",$200.82M,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Directors:Nathan Greno, Byron Howard","['Mandy Moore', 'Zachary Levi', 'Donna Murphy', 'Ron Perlman']","
Animation, Adventure, Comedy            "
And Your Mother Too, 2001 ,106,7.7,89,"127,281",$13.62M,"In Mexico, two teenage boys and an older woman embark on a road trip and learn a thing or two about life and each other.",Alfonso Cuarón,"['Maribel Verdú', 'Gael García Bernal', 'Daniel Giménez Cacho', 'Ana López Mercado']","
Drama            "
First Blood, 1982 ,93,7.7,61,"268,050",$47.21M,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,Ted Kotcheff,"['Sylvester Stallone', 'Brian Dennehy', 'Richard Crenna', 'Bill McKinney']","
Action, Adventure, Thriller            "
The Count of Monte Cristo, 2002 ,131,7.7,61,"145,581",$54.23M,"A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Kevin Reynolds,"['Jim Caviezel', 'Guy Pearce', 'Christopher Adamson', 'JB Blanc']","
Action, Adventure, Drama            "
Black Book, 2006 ,145,7.7,71,"79,383",$4.40M,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.",Paul Verhoeven,"['Carice van Houten', 'Sebastian Koch', 'Thom Hoffman', 'Halina Reijn']","
Drama, Thriller, War            "
Brokeback Mountain, 2005 ,134,7.7,87,"373,786",$83.04M,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.,Ang Lee,"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']","
Drama, Romance            "
Blue Velvet, 1986 ,120,7.7,76,"210,291",$8.55M,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",David Lynch,"['Isabella Rossellini', 'Kyle MacLachlan', 'Dennis Hopper', 'Laura Dern']","
Crime, Drama, Mystery            "
Sound of Metal, 2019 ,120,7.7,82,"143,240", ,A heavy metal drummer's life is turned upside down when he begins to lose his hearing and he must confront a future filled with silence.,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']","
Drama, Music            "
Argo, 2012 ,120,7.7,86,"630,851",$136.03M,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']","
Biography, Drama, Thriller            "
Deliverance, 1972 ,109,7.7,80,"116,883",$7.06M,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",John Boorman,"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox']","
Adventure, Drama, Thriller            "
Another Round, 2020 ,117,7.7,79,"182,746", ,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']","
Drama            "
Birdman or (The Unexpected Virtue of Ignorance), 2014 ,119,7.7,87,"654,226",$42.34M,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Alejandro G. Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']","
Comedy, Drama            "
The French Connection, 1971 ,104,7.7,94,"131,638",$15.63M,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal.",William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']","
Action, Crime, Drama            "
The Boy in the Striped Pajamas, 2008 ,94,7.7,55,"236,623",$9.03M,"Through the innocent eyes of Bruno, the eight-year-old son of the commandant at a German concentration camp, a forbidden friendship with a Jewish boy on the other side of the camp fence has startling and unexpected consequences.",Mark Herman,"['Asa Butterfield', 'David Thewlis', 'Rupert Friend', ""Zac Mattoon O'Brien""]","
Drama, War            "
Crash, I   2004 ,112,7.7,66,"445,279",$54.58M,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Paul Haggis,"['Don Cheadle', 'Sandra Bullock', 'Thandiwe Newton', 'Karina Arroyave']","
Crime, Drama, Thriller            "
The Boondock Saints, 1999 ,108,7.7,44,"246,470",$0.03M,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Troy Duffy,"['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']","
Action, Crime, Thriller            "
The Name of the Rose, 1986 ,130,7.7,54,"114,047",$7.15M,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,Jean-Jacques Annaud,"['Sean Connery', 'Christian Slater', 'Helmut Qualtinger', 'Elya Baskin']","
Drama, Mystery, Thriller            "
Goldfinger, 1964 ,110,7.7,87,"198,528",$51.08M,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",Guy Hamilton,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman', 'Shirley Eaton']","
Action, Adventure, Thriller            "
Gravity, 2013 ,91,7.7,96,"850,023",$274.09M,Two astronauts work together to survive after an accident leaves them stranded in space.,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']","
Drama, Sci-Fi, Thriller            "
Toy Story 4, 2019 ,100,7.7,84,"270,377",$434.04M,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy.",Josh Cooley,"['Tom Hanks', 'Tim Allen', 'Annie Potts', 'Tony Hale']","
Animation, Adventure, Comedy            "
Who Framed Roger Rabbit, 1988 ,104,7.7,83,"211,917",$156.45M,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Robert Zemeckis,"['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy', 'Charles Fleischer']","
Adventure, Comedy, Crime            "
As Good as It Gets, 1997 ,139,7.7,67,"312,247",$148.48M,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.",James L. Brooks,"['Jack Nicholson', 'Helen Hunt', 'Greg Kinnear', 'Cuba Gooding Jr.']","
Comedy, Drama, Romance            "
Happiness, 1998 ,134,7.7,81,"73,191",$2.81M,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts which society as a whole might find disturbing in a desperate search for human connection.",Todd Solondz,"['Jane Adams', 'Jon Lovitz', 'Philip Seymour Hoffman', 'Dylan Baker']","
Comedy, Drama            "
The Lego Movie, 2014 ,100,7.7,83,"379,513",$257.76M,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","Directors:Phil Lord, Christopher Miller","['Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett']","
Animation, Action, Adventure            "
The Color Purple, 1985 ,154,7.7,78,"92,553",$98.47M,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Steven Spielberg,"['Danny Glover', 'Whoopi Goldberg', 'Oprah Winfrey', 'Margaret Avery']","
Drama            "
The Magnificent Seven, 1960 ,128,7.7,74,"100,160",$4.91M,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,John Sturges,"['Yul Brynner', 'Steve McQueen', 'Charles Bronson', 'Eli Wallach']","
Action, Adventure, Drama            "
Road to Perdition, 2002 ,117,7.7,72,"279,563",$104.45M,"A mob enforcer's son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",Sam Mendes,"['Tom Hanks', 'Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken']","
Crime, Drama, Thriller            "
Donnie Brasco, 1997 ,127,7.7,76,"323,894",$41.91M,An FBI undercover agent infiltrates the mob and finds himself identifying more with the Mafia life--at the expense of his regular one.,Mike Newell,"['Al Pacino', 'Johnny Depp', 'Michael Madsen', 'Bruno Kirby']","
Biography, Crime, Drama            "
Empire of the Sun, 1987 ,153,7.7,62,"131,925",$22.24M,A young English boy struggles to survive under Japanese occupation of China during World War II.,Steven Spielberg,"['Christian Bale', 'John Malkovich', 'Miranda Richardson', 'Nigel Havers']","
Drama, War            "
Primal Fear, 1996 ,129,7.7,47,"239,539",$56.12M,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.",Gregory Hoblit,"['Richard Gere', 'Laura Linney', 'Edward Norton', 'John Mahoney']","
Crime, Drama, Mystery            "
The Quiet Man, 1952 ,129,7.7,85,"41,208",$10.55M,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",John Ford,"['John Wayne', ""Maureen O'Hara"", 'Barry Fitzgerald', 'Ward Bond']","
Comedy, Drama, Romance            "
Fried Green Tomatoes, 1991 ,130,7.7,64,"79,844",$82.42M,A housewife who is unhappy with her life befriends an old lady at a nursing home and is enthralled by the tales she tells of people she used to know.,Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']","
Drama            "
"O Brother, Where Art Thou?", 2000 ,107,7.7,69,"324,452",$45.51M,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Directors:Joel Coen, Ethan Coen","['George Clooney', 'John Turturro', 'Tim Blake Nelson', 'John Goodman']","
Adventure, Comedy, Crime            "
Wreck-It Ralph, 2012 ,101,7.7,72,"446,749",$189.42M,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.",Rich Moore,"['John C. Reilly', 'Jack McBrayer', 'Jane Lynch', 'Sarah Silverman']","
Animation, Adventure, Comedy            "
Gattaca, 1997 ,106,7.7,64,"316,835",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']","
Drama, Sci-Fi, Thriller            "
Sense and Sensibility, 1995 ,136,7.7,84,"122,431",$43.18M,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",Ang Lee,"['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']","
Drama, Romance            "
Naked, 1993 ,131,7.7,85,"42,527",$1.77M,An unemployed Mancunian vents his rage on unsuspecting strangers as he embarks on a nocturnal London odyssey.,Mike Leigh,"['David Thewlis', 'Lesley Sharp', 'Katrin Cartlidge', 'Greg Cruttwell']","
Comedy, Drama            "
The Fault in Our Stars, 2014 ,126,7.7,69,"393,663",$124.87M,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,Josh Boone,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff', 'Laura Dern']","
Drama, Romance            "
3:10 to Yuma, 2007 ,122,7.7,76,"325,568",$53.61M,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,James Mangold,"['Russell Crowe', 'Christian Bale', 'Ben Foster', 'Logan Lerman']","
Action, Crime, Drama            "
Kung Fu Hustle, 2004 ,99,7.7,78,"147,567",$17.11M,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.",Stephen Chow,"['Stephen Chow', 'Wah Yuen', 'Qiu Yuen', 'Siu-Lung Leung']","
Action, Comedy, Fantasy            "
Apollo 13, I   1995 ,140,7.7,77,"308,298",$173.84M,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,Ron Howard,"['Tom Hanks', 'Bill Paxton', 'Kevin Bacon', 'Gary Sinise']","
Adventure, Drama, History            "
Philadelphia, 1993 ,125,7.7,66,"252,993",$77.32M,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']","
Drama            "
The Bourne Supremacy, 2004 ,108,7.7,73,"479,464",$176.24M,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Paul Greengrass,"['Matt Damon', 'Franka Potente', 'Joan Allen', 'Brian Cox']","
Action, Mystery, Thriller            "
The Theory of Everything, 2014 ,123,7.7,71,"472,035",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,"['Eddie Redmayne', 'Felicity Jones', 'Tom Prior', 'Sophie Perry']","
Biography, Drama, Romance            "
This Is England, 2006 ,101,7.7,86,"126,751",$0.33M,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",Shane Meadows,"['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']","
Crime, Drama            "
Belle de Jour, 1967 ,100,7.7, ,"47,631",$0.03M,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,Luis Buñuel,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page']","
Drama, Romance            "
A Man for All Seasons, 1966 ,120,7.7,72,"36,443",$28.35M,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.",Fred Zinnemann,"['Paul Scofield', 'Wendy Hiller', 'Robert Shaw', 'Leo McKern']","
Biography, Drama, History            "
Flipped, I   2010 ,90,7.7,45,"95,139",$1.75M,Two eighth-graders start to have feelings for each other despite being total opposites.,Rob Reiner,"['Madeline Carroll', 'Callan McAuliffe', 'Rebecca De Mornay', 'Anthony Edwards']","
Comedy, Drama, Romance            "
Malcolm X, 1992 ,202,7.7,73,"99,844",$48.17M,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam and his eventual assassination.",Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']","
Biography, Drama, History            "
Being John Malkovich, 1999 ,113,7.7,90,"348,078",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Spike Jonze,"['John Cusack', 'Cameron Diaz', 'Catherine Keener', 'John Malkovich']","
Comedy, Drama, Fantasy            "
The Trial of the Chicago 7, 2020 ,129,7.7,76,"188,406", ,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",Aaron Sorkin,"['Eddie Redmayne', 'Alex Sharp', 'Sacha Baron Cohen', 'Jeremy Strong']","
Drama, History, Thriller            "
Star Trek Into Darkness, 2013 ,132,7.7,72,"493,083",$228.78M,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']","
Action, Adventure, Sci-Fi            "
Cape Fear, 1962 ,106,7.7,76,"30,987", ,A lawyer's family is stalked by a man he once helped put in jail.,J. Lee Thompson,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen', 'Lori Martin']","
Drama, Thriller            "
A Man Called Ove, 2015 ,116,7.7,70,"66,175",$3.48M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,"['Rolf Lassgård', 'Bahar Pars', 'Filip Berg', 'Ida Engvoll']","
Comedy, Drama, Romance            "
Sorcerer, 1977 ,121,7.7,68,"25,736",$12.00M,Four unfortunate men from different parts of the globe agree to risk their lives transporting gallons of nitroglycerin across dangerous Latin American jungle.,William Friedkin,"['Roy Scheider', 'Bruno Cremer', 'Francisco Rabal', 'Amidou']","
Adventure, Drama, Thriller            "
Serpico, 1973 ,130,7.7,83,"131,236",$29.80M,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']","
Biography, Crime, Drama            "
Adaptation., 2002 ,115,7.7,83,"199,526",$22.25M,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Spike Jonze,"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper', 'Tilda Swinton']","
Comedy, Drama            "
Clerks, 1994 ,92,7.7,70,"229,444",$3.15M,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Kevin Smith,"[""Brian O'Halloran"", 'Jeff Anderson', 'Marilyn Ghigliotti', 'Lisa Spoonauer']","
Comedy            "
Detachment, 2011 ,98,7.7,52,"94,912",$0.07M,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,Tony Kaye,"['Adrien Brody', 'Christina Hendricks', 'Marcia Gay Harden', 'Lucy Liu']","
Drama            "
Paprika, 2006 ,90,7.7,81,"91,836",$0.88M,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.",Satoshi Kon,"['Megumi Hayashibara', 'Tôru Emori', 'Katsunosuke Hori', 'Tôru Furuya']","
Animation, Drama, Fantasy            "
Glengarry Glen Ross, 1992 ,100,7.7,82,"113,042",$10.73M,An examination of the machinations behind the scenes at a real estate office.,James Foley,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin']","
Crime, Drama, Mystery            "
The Wind Rises, 2013 ,126,7.7,83,"93,654",$5.21M,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",Hayao Miyazaki,"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']","
Animation, Biography, Drama            "
